Method,Test Accuracy,Improvement over Baseline,Improvement (%)
Baseline CNN,0.6437,0.0,0.0
ES(1+1),0.7979999780654907,0.15429997806549067,23.97079044049879
CMA-ES,0.7706666588783264,0.12696665887832637,19.72450813707105
Random Search,0.7699999809265137,0.12629998092651362,19.620938469242443
Keras Tuner (Hyperband),0.792667,0.14896699999999996,23.142302314742878
DEAP (μ+λ)-ES,0.7933333516120911,0.14963335161209101,23.245821285084833
