generation,parent_fitness,offspring_fitness,sigma,accepted,learning_rate,dropout_rate,label_smoothing,rotation_range,zoom_range
1,0.7493333220481873,0.7493333220481873,0.15,False,0.0017370919213679148,0.1,0.1890654111342594,0.06559371582408502,0.05462051407609845
2,0.7513333559036255,0.7513333559036255,0.15,False,0.0013809201636514083,0.25589698431636654,0.3,0.06645172271420599,0.11421533862686578
3,0.7513333559036255,0.6513333320617676,0.15,False,0.0013809201636514083,0.25589698431636654,0.3,0.06645172271420599,0.11421533862686578
4,0.7513333559036255,0.7120000123977661,0.15,False,0.0013809201636514083,0.25589698431636654,0.3,0.06645172271420599,0.11421533862686578
5,0.7513333559036255,0.7126666903495789,0.15,False,0.0013809201636514083,0.25589698431636654,0.3,0.06645172271420599,0.11421533862686578
6,0.7513333559036255,0.70333331823349,0.18,False,0.0013809201636514083,0.25589698431636654,0.3,0.06645172271420599,0.11421533862686578
