epoch,lr,train_acc,val_acc,train_loss,val_loss
0,4.999999873689376e-05,0.08320000022649765,0.14426666498184204,3.213634490966797,2.981705904006958
1,4.999999873689376e-05,0.12308571487665176,0.1666666716337204,3.021712303161621,2.8563661575317383
2,4.999999873689376e-05,0.15205714106559753,0.18533332645893097,2.8974905014038086,2.7920172214508057
3,4.999999873689376e-05,0.18605713546276093,0.18960000574588776,2.7778353691101074,2.8178229331970215
4,4.999999873689376e-05,0.2133714258670807,0.24826666712760925,2.676698923110962,2.6236732006073
5,4.999999873689376e-05,0.24222856760025024,0.225600004196167,2.5731420516967773,2.782891035079956
6,4.999999873689376e-05,0.2639428675174713,0.26026666164398193,2.4753847122192383,2.6067919731140137
7,4.999999873689376e-05,0.29754287004470825,0.30373331904411316,2.3723180294036865,2.448500156402588
8,4.999999873689376e-05,0.3287999927997589,0.31306666135787964,2.265026569366455,2.4109442234039307
9,4.999999873689376e-05,0.35171428322792053,0.349866658449173,2.187469482421875,2.283695936203003
10,4.999999873689376e-05,0.36480000615119934,0.3400000035762787,2.1384925842285156,2.3181657791137695
11,4.999999873689376e-05,0.3767428696155548,0.36000001430511475,2.0924322605133057,2.2850942611694336
12,4.999999873689376e-05,0.39314284920692444,0.3720000088214874,2.0411741733551025,2.245009660720825
13,4.999999873689376e-05,0.40137141942977905,0.3954666554927826,2.008796453475952,2.121074914932251
14,4.999999873689376e-05,0.4146285653114319,0.3877333402633667,1.9673298597335815,2.17089581489563
15,4.999999873689376e-05,0.4253142774105072,0.42346665263175964,1.9346953630447388,2.017308235168457
16,4.999999873689376e-05,0.44028571248054504,0.4480000138282776,1.8855067491531372,1.9420667886734009
17,4.999999873689376e-05,0.4473714232444763,0.41546666622161865,1.8587807416915894,2.0873165130615234
18,4.999999873689376e-05,0.45428571105003357,0.42293334007263184,1.8258506059646606,2.058871030807495
19,4.999999873689376e-05,0.46245715022087097,0.4466666579246521,1.7981411218643188,1.9367200136184692
